Account_ID ,CODE ,Implemented Date ,Active Indicator ,Account Type ,Service ,BU,Request Date ,Account status ,Status Code ,$ Amount ,Version ,Agent ID ,FIBRE ,last Updated Date ,Property TYPE ,Post Code ,,
1066605,64,6/09/2017 0:00,1,B2B,GAS,DUOSV,5/09/2017 0:00,PAID,5,67,v1_0,307375,2.67E+14,3/10/2017 13:02,RESI,2584,,
1175082.667,1124,7/09/2017 0:00,1,B2B,ELE,NUOS,1/09/2017 0:00,PAID,4,21.04,v1_0,307507,EN103099163-N-10,7/09/2017 10:58,BEST,2081,,
1283560.167,1124,7/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,4,16.85,v1_0,307507,EN103111576-N-8,7/09/2017 10:58,BEST,2081,,
1392037.667,543,7/09/2017 0:00,1,B2B,ELE,NUOS,9/08/2017 0:00,PAID,9,-10,v1_0,307511,CEN120075474-C-2,7/09/2017 10:59,,2081,,
1500515.167,543,7/09/2017 0:00,1,B2B,ELE,NUOS,18/08/2017 0:00,PAID,6,4.32,v1_0,307508,EN121841848-N-18,7/09/2017 11:10,RESI,2587,,
1608992.667,543,7/09/2017 0:00,1,B2B,ELE,NUOS,18/08/2017 0:00,PAID,7,-318.56,v1_0,307508,EN121844222-N-10,7/09/2017 11:09,RESI,2587,,
1717470.167,543,7/09/2017 0:00,1,B2B,ELE,NUOS,18/08/2017 0:00,PAID,6,13.35,v1_0,307508,EN121854496-N-19,7/09/2017 11:10,RESI,2587,,
1825947.667,543,7/09/2017 0:00,1,B2B,ELE,NUOS,10/08/2017 0:00,PAID,3,0.58,v1_0,307509,EN121581516-N-5,7/09/2017 11:51,,2587,,
1934425.167,543,7/09/2017 0:00,1,B2B,ELE,NUOS,10/08/2017 0:00,PAID,8,3.58,v1_0,307509,EN121565902-N-13,7/09/2017 11:52,RESI,2587,,
2042902.667,543,7/09/2017 0:00,1,B2B,ELE,NUOS,10/08/2017 0:00,PAID,4,0,v1_0,307509,EN121563996-N-11,7/09/2017 11:52,RESI,2587,,
2151380.167,543,7/09/2017 0:00,1,B2B,ELE,NUOS,11/08/2017 0:00,PAID,4,2.6,v1_0,307509,EN121633390-N-11,7/09/2017 11:56,RESI,2587,,
2259857.667,543,7/09/2017 0:00,1,B2B,ELE,NUOS,14/08/2017 0:00,PAID,6,5.95,v1_0,307509,EN121673212-N-9,7/09/2017 12:00,RESI,2587,,
2368335.167,543,7/09/2017 0:00,1,B2B,ELE,NUOS,14/08/2017 0:00,PAID,9,0,v1_0,307509,EN121648884-N-1,7/09/2017 12:00,RESI,2587,,
200098,543,7/09/2017 0:00,1,B2B,ELE,NUOS,14/08/2017 0:00,PAID,7,9.51,v1_0,307509,EN121653266-N-9,7/09/2017 12:01,RESI,2587,,
10033,543,7/09/2017 0:00,1,B2B,ELE,NUOS,14/08/2017 0:00,PAID,9,1.34,v1_0,307509,EN121680822-N-8,7/09/2017 12:01,RESI,2587,,
10049,543,7/09/2017 0:00,1,B2B,ELE,NUOS,9/08/2017 0:00,PAID,0,1.05,v1_0,307509,EN121524147-N-16,7/09/2017 11:45,RESI,2587,,
10066,543,7/09/2017 0:00,1,B2B,ELE,NUOS,9/08/2017 0:00,PAID,8,0.46,v1_0,307509,EN121508087-N-3,7/09/2017 11:46,,2587,,
10033,543,7/09/2017 0:00,1,B2B,ELE,NUOS,9/08/2017 0:00,PAID,4,1.42,v1_0,307509,EN121519443-N-8,7/09/2017 11:46,RESI,2587,,
10055,543,7/09/2017 0:00,1,B2B,ELE,NUOS,9/08/2017 0:00,PAID,5,2.44,v1_0,307509,EN121495792-N-18,7/09/2017 11:46,RESI,2587,,
10063,543,7/09/2017 0:00,1,B2B,ELE,NUOS,14/08/2017 0:00,PAID,1,6.36,v1_0,307509,EN121667218-N-7,7/09/2017 12:01,RESI,2587,,
10001,543,7/09/2017 0:00,1,B2B,ELE,NUOS,14/08/2017 0:00,PAID,7,9.09,v1_0,307509,EN121659042-N-9,7/09/2017 12:01,RESI,2587,,
10059,543,7/09/2017 0:00,1,B2B,ELE,NUOS,15/08/2017 0:00,PAID,8,1.23,v1_0,307509,EN121716850-N-13,7/09/2017 12:05,RESI,2587,,
10021,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,4,4.09,v1_0,307509,EN121758036-N-3,7/09/2017 12:05,RESI,2587,,
10032,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,6,7.85,v1_0,307509,EN121780096-N-10,7/09/2017 12:06,RESI,2587,,
10065,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,3,2.93,v1_0,307509,EN121748282-N-8,7/09/2017 12:07,RESI,2587,,
10018,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,9,3.94,v1_0,307509,EN121756948-N-5,7/09/2017 12:07,RESI,2587,,
10050,543,7/09/2017 0:00,1,B2B,ELE,NUOS,15/08/2017 0:00,PAID,7,0,v1_0,307509,EN121709729-N-11,7/09/2017 12:05,RESI,2587,,
10064,543,7/09/2017 0:00,1,B2B,ELE,NUOS,15/08/2017 0:00,PAID,2,1.21,v1_0,307509,EN121717897-N-16,7/09/2017 12:05,RESI,2587,,
10083,543,7/09/2017 0:00,1,B2B,ELE,NUOS,28/08/2017 0:00,PAID,3,3.58,v1_0,307508,EN122182396-N-16,7/09/2017 11:15,RESI,2587,,
10072,543,7/09/2017 0:00,1,B2B,ELE,NUOS,29/08/2017 0:00,PAID,8,27.55,v1_0,307508,EN122227076-N-19,7/09/2017 11:16,RESI,2587,,
10079,543,7/09/2017 0:00,1,B2B,ELE,NUOS,29/08/2017 0:00,PAID,0,23.55,v1_0,307508,EN122230946-N-9,7/09/2017 11:15,RESI,2587,,
10012,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,7,1.88,v1_0,307509,EN121767404-N-9,7/09/2017 12:08,RESI,2587,,
10062,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,3,4.14,v1_0,307509,EN121771653-N-10,7/09/2017 12:08,RESI,2587,,
10098,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,1,4.09,v1_0,307509,EN121772701-N-1,7/09/2017 12:08,RESI,2587,,
10036,105,5/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,2,1.04,v1_0,307312,EA983_26004938352-N-3,11/09/2017 10:44,RESI,2581,,
10026,105,5/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,3,13.12,v1_0,307312,EA983_26004938310-N-4,11/09/2017 10:44,RESI,2581,,
10035,105,5/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,1,2.23,v1_0,307312,EA983_114002605000-N-12,11/09/2017 10:03,RESI,2581,,
10009,105,5/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,8,2.52,v1_0,307312,EA983_30004878584-N-1,11/09/2017 10:03,RESI,2581,,
10049,543,7/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,6,18.62,v1_0,307508,EN122572224-N-6,7/09/2017 11:18,RESI,2587,,
10020,543,7/09/2017 0:00,1,B2B,ELE,NUOS,31/08/2017 0:00,PAID,5,42.45,v1_0,307508,EN122304965-N-20,7/09/2017 11:17,RESI,2587,,
10090,543,7/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,0,0.7,v1_0,307508,EN122560570-N-8,7/09/2017 11:18,RESI,2587,,
10060,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,5,4.14,v1_0,307509,EN121762986-N-10,7/09/2017 12:09,RESI,2587,,
10085,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,2,1.82,v1_0,307509,EN121770687-N-3,7/09/2017 12:09,RESI,2587,,
10055,543,7/09/2017 0:00,1,B2B,ELE,NUOS,16/08/2017 0:00,PAID,0,2.76,v1_0,307509,EN121737966-N-6,7/09/2017 12:09,RESI,2587,,
10069,543,7/09/2017 0:00,1,B2B,ELE,NUOS,17/08/2017 0:00,PAID,8,2.68,v1_0,307509,EN121786180-N-5,7/09/2017 12:10,RESI,2587,,
10027,543,7/09/2017 0:00,1,B2B,ELE,NUOS,17/08/2017 0:00,PAID,4,2.99,v1_0,307509,EN121803798-N-8,7/09/2017 12:10,RESI,2587,,
10049,543,7/09/2017 0:00,1,B2B,ELE,NUOS,17/08/2017 0:00,PAID,1,3.94,v1_0,307509,EN121804061-N-5,7/09/2017 12:10,RESI,2587,,
10065,543,7/09/2017 0:00,1,B2B,ELE,NUOS,17/08/2017 0:00,PAID,0,0,v1_0,307509,EN121817074-N-29,7/09/2017 12:10,RESI,2587,,
10054,543,7/09/2017 0:00,1,B2B,ELE,NUOS,17/08/2017 0:00,PAID,9,5.65,v1_0,307509,EN121793768-N-12,7/09/2017 12:11,RESI,2587,,
10020,543,7/09/2017 0:00,1,B2C,ELE,NUOS,9/08/2017 0:00,PAID,8,-37.22,v1_0,307509,CEN118831499-C-6,7/09/2017 13:18,RESI,2582,,
10012,543,7/09/2017 0:00,1,B2C,ELE,NUOS,9/08/2017 0:00,PAID,6,4.56,v1_0,307509,EN121511607-N-5,7/09/2017 11:46,RESI,2587,,
10076,543,7/09/2017 0:00,1,B2C,ELE,NUOS,9/08/2017 0:00,PAID,4,0,v1_0,307509,EN121516900-N-12,7/09/2017 11:46,RESI,2587,,
10073,543,7/09/2017 0:00,1,B2C,ELE,NUOS,10/08/2017 0:00,PAID,3,8.09,v1_0,307509,EN121541268-N-3,7/09/2017 11:50,RESI,2587,,
10078,543,7/09/2017 0:00,1,B2C,ELE,NUOS,16/08/2017 0:00,PAID,8,2.89,v1_0,307509,EN121740236-N-18,7/09/2017 12:06,RESI,2587,,
10076,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,3,7.31,v1_0,307509,EN121785676-N-1,7/09/2017 12:11,RESI,2587,,
10049,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,0,4.02,v1_0,307509,EN121789924-N-10,7/09/2017 12:12,RESI,2587,,
10008,543,7/09/2017 0:00,1,B2C,ELE,NUOS,11/08/2017 0:00,PAID,6,0,v1_0,307509,EN121614144-N-2,7/09/2017 11:54,RESI,2587,,
10051,543,7/09/2017 0:00,1,B2C,ELE,NUOS,11/08/2017 0:00,PAID,4,3.68,v1_0,307509,EN121615012-N-13,7/09/2017 11:54,RESI,2587,,
10074,543,7/09/2017 0:00,1,B2C,ELE,NUOS,14/08/2017 0:00,PAID,6,7.41,v1_0,307509,EN121670272-N-4,7/09/2017 11:57,RESI,2587,,
10048,543,7/09/2017 0:00,1,B2C,ELE,NUOS,14/08/2017 0:00,PAID,4,4.65,v1_0,307509,EN121666642-N-3,7/09/2017 11:57,RESI,2587,,
10063,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,1,1.21,v1_0,307509,EN121811244-N-8,7/09/2017 12:12,RESI,2587,,
10096,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,7,2.99,v1_0,307509,EN121797610-N-8,7/09/2017 12:13,RESI,2587,,
10034,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,5,0.06,v1_0,307509,EN121782624-N-8,7/09/2017 12:13,,2587,,
10024,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,4,7.24,v1_0,307509,EN121816810-N-4,7/09/2017 12:13,BSME,2587,,
10049,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,8,2.99,v1_0,307509,EN121796028-N-11,7/09/2017 12:12,RESI,2587,,
10030,543,7/09/2017 0:00,1,B2C,ELE,NUOS,28/08/2017 0:00,PAID,9,17.48,v1_0,307508,EN122155538-N-1,7/09/2017 11:15,BSME,2587,,
10041,543,7/09/2017 0:00,1,B2C,ELE,NUOS,29/08/2017 0:00,PAID,7,12.78,v1_0,307508,EN122192582-N-12,7/09/2017 11:16,RESI,2587,,
10075,543,7/09/2017 0:00,1,B2C,ELE,NUOS,28/08/2017 0:00,PAID,4,5.05,v1_0,307508,EN122179150-N-13,7/09/2017 11:15,RESI,2587,,
10001,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,8,2.99,v1_0,307509,EN121814954-N-11,7/09/2017 12:13,RESI,2587,,
10055,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,4,5.16,v1_0,307509,EN121816574-N-24,7/09/2017 12:13,RESI,2587,,
10061,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,5,4.19,v1_0,307509,EN121808478-N-3,7/09/2017 12:13,RESI,2587,,
10019,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,8,1.3,v1_0,307509,EN121839148-N-26,7/09/2017 12:14,RESI,2587,,
10063,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,2,0.58,v1_0,307509,EN121792308-N-8,7/09/2017 12:13,RESI,2587,,
10017,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,4,1.07,v1_0,307509,EN121798967-N-8,7/09/2017 12:13,RESI,2587,,
10063,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,3,2.56,v1_0,307509,EN121785320-N-14,7/09/2017 12:13,RESI,2587,,
10075,543,7/09/2017 0:00,1,B2C,ELE,NUOS,17/08/2017 0:00,PAID,2,4.23,v1_0,307509,EN121802800-N-10,7/09/2017 12:14,BSME,2587,,
10040,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,2,3.06,v1_0,307509,EN121842474-N-8,7/09/2017 12:14,RESI,2587,,
10056,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,6,3.94,v1_0,307509,EN121838860-N-5,7/09/2017 12:14,RESI,2587,,
10003,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,4,2.85,v1_0,307509,EN121870060-N-10,7/09/2017 12:14,RESI,2587,,
10043,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,8,3.06,v1_0,307509,EN121844430-N-11,7/09/2017 12:14,RESI,2587,,
10054,543,7/09/2017 0:00,1,B2C,ELE,NUOS,11/08/2017 0:00,PAID,4,3.68,v1_0,307509,EN121607738-N-10,7/09/2017 11:53,RESI,2587,,
10066,543,7/09/2017 0:00,1,B2C,ELE,NUOS,11/08/2017 0:00,PAID,4,2.6,v1_0,307509,EN121626699-N-8,7/09/2017 11:54,RESI,2587,,
10072,543,7/09/2017 0:00,0,B2C,ELE,NUOS,14/08/2017 0:00,PAID,7,2.67,v1_0,307509,EN121691190-N-8,7/09/2017 11:58,RESI,2587,,
10092,543,7/09/2017 0:00,1,B2C,ELE,NUOS,14/08/2017 0:00,PAID,7,9.25,v1_0,307509,EN121643218-N-20,7/09/2017 11:58,RESI,2587,,
10017,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,6,8.33,v1_0,307509,EN121863654-N-18,7/09/2017 12:14,BSME,2587,,
10047,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,2,1.18,v1_0,307509,EN121838710-N-8,7/09/2017 12:14,RESI,2587,,
10019,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,1,4.32,v1_0,307509,EN121867732-N-10,7/09/2017 12:15,RESI,2587,,
10097,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,2,7.75,v1_0,307509,EN121839508-N-4,7/09/2017 12:15,RESI,2587,,
10059,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,5,3.82,v1_0,307509,EN121847104-N-12,7/09/2017 12:15,RESI,2587,,
10084,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,5,4.32,v1_0,307509,EN121824982-N-13,7/09/2017 12:15,RESI,2587,,
10079,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,7,1.15,v1_0,307509,EN121844894-N-8,7/09/2017 12:15,RESI,2587,,
10053,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,7,0,v1_0,307509,EN121855220-N-1,7/09/2017 12:15,RESI,2587,,
10003,543,7/09/2017 0:00,1,B2C,ELE,NUOS,30/08/2017 0:00,PAID,4,14.72,v1_0,307508,EN122243308-N-1,7/09/2017 11:16,RESI,2587,,
10028,543,7/09/2017 0:00,1,B2C,ELE,NUOS,29/08/2017 0:00,PAID,3,0,v1_0,307508,EN122194065-N-1,7/09/2017 11:15,RESI,2587,,
10098,543,7/09/2017 0:00,1,B2C,ELE,NUOS,30/08/2017 0:00,PAID,5,2.76,v1_0,307508,EN122240960-N-23,7/09/2017 11:16,RESI,2587,,
10022,543,7/09/2017 0:00,1,B2C,ELE,NUOS,23/08/2017 0:00,PAID,7,5.32,v1_0,307508,EN121994010-N-4,7/09/2017 11:12,RESI,2587,,
10067,543,7/09/2017 0:00,1,B2C,ELE,NUOS,22/08/2017 0:00,PAID,1,3.72,v1_0,307508,EN121937988-N-3,7/09/2017 11:11,RESI,2587,,
10098,543,7/09/2017 0:00,1,B2C,ELE,NUOS,23/08/2017 0:00,PAID,0,0,v1_0,307508,EN122008384-N-12,7/09/2017 11:12,RESI,2587,,
10068,543,7/09/2017 0:00,1,B2C,ELE,NUOS,23/08/2017 0:00,PAID,0,12.32,v1_0,307508,EN121999608-N-4,7/09/2017 11:12,RESI,2587,,
10076,543,7/09/2017 0:00,1,B2C,ELE,NUOS,11/08/2017 0:00,PAID,3,33.57,v1_0,307508,EN121632260-N-20,7/09/2017 11:05,RESI,2587,,
10060,543,7/09/2017 0:00,1,B2C,ELE,NUOS,11/08/2017 0:00,PAID,9,0,v1_0,307508,EN121592816-N-9,7/09/2017 11:05,RESI,2587,,
10016,543,7/09/2017 0:00,1,B2C,ELE,NUOS,10/08/2017 0:00,PAID,2,0,v1_0,307508,EN121578010-N-11,7/09/2017 11:06,RESI,2587,,
10054,543,7/09/2017 0:00,0,B2C,ELE,NUOS,1/09/2017 0:00,PAID,1,90.04,v1_0,307511,EN122443424-N-6,7/09/2017 10:59,,2081,,
10066,543,7/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,9,117.63,v1_0,307511,EN122518556-N-3,7/09/2017 11:00,BEST,2081,,
10067,543,7/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,0,8.04,v1_0,307511,EN122574540-N-2,7/09/2017 11:00,BEST,2081,,
10009,64,6/09/2017 0:00,1,B2C,GAS,DUOSV,5/09/2017 0:00,PAID,9,19.83,v1_0,307375,2.67E+14,3/10/2017 12:56,RESI,2584,,
10019,64,6/09/2017 0:00,1,B2C,GAS,DUOSV,5/09/2017 0:00,PAID,4,75.69,v1_0,307375,2.67E+14,3/10/2017 13:00,RESI,2584,,
10001,64,6/09/2017 0:00,1,B2C,GAS,DUOSV,5/09/2017 0:00,PAID,7,115.05,v1_0,307375,2.67E+14,3/10/2017 12:59,RESI,2584,,
10009,64,6/09/2017 0:00,1,B2C,GAS,DUOSV,5/09/2017 0:00,PAID,0,118.36,v1_0,307375,2.67E+14,3/10/2017 13:00,RESI,2584,,
10088,543,7/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,6,40.02,v1_0,307511,EN122586226-N-3,7/09/2017 10:59,BEST,2081,,
10081,543,7/09/2017 0:00,1,B2C,ELE,NUOS,21/08/2017 0:00,PAID,5,3.94,v1_0,307508,EN121902703-N-5,7/09/2017 11:11,RESI,2587,,
10041,543,7/09/2017 0:00,0,B2C,ELE,NUOS,21/08/2017 0:00,PAID,4,10.52,v1_0,307508,EN121926363-N-24,7/09/2017 11:10,RESI,2587,,
10070,105,5/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,2,8.08,v1_0,307323,EA983_58004531129-N-12,11/09/2017 9:43,RESI,2581,,
10082,105,5/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,3,0,v1_0,307323,EA983_142001600445-N-18,11/09/2017 9:51,RESI,2581,,
10093,105,5/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,5,22.16,v1_0,307323,EA983_142001600583-N-8,29/11/2017 12:43,RESI,2581,,
10090,543,7/09/2017 0:00,1,B2C,ELE,NUOS,8/08/2017 0:00,PAID,2,4.93,v1_0,307509,EN121454272-N-3,7/09/2017 11:39,RESI,2587,,
10026,543,7/09/2017 0:00,1,B2C,ELE,NUOS,8/08/2017 0:00,PAID,7,5.19,v1_0,307509,EN121443420-N-5,7/09/2017 11:39,RESI,2587,,
10076,543,7/09/2017 0:00,1,B2C,ELE,NUOS,8/08/2017 0:00,PAID,4,7.44,v1_0,307509,EN121477378-N-12,7/09/2017 11:42,RESI,2587,,
10069,543,7/09/2017 0:00,1,B2C,ELE,NUOS,8/08/2017 0:00,PAID,9,2.41,v1_0,307509,EN121479996-N-21,7/09/2017 11:42,RESI,2587,,
10035,543,7/09/2017 0:00,1,B2C,ELE,NUOS,9/08/2017 0:00,PAID,3,2.47,v1_0,307509,EN121517163-N-8,7/09/2017 11:47,RESI,2587,,
10067,543,7/09/2017 0:00,1,B2C,ELE,NUOS,11/08/2017 0:00,PAID,8,2.95,v1_0,307509,EN121621476-N-7,7/09/2017 11:56,RESI,2587,,
10027,543,7/09/2017 0:00,1,B2C,ELE,NUOS,11/08/2017 0:00,PAID,4,1.4,v1_0,307509,EN121606098-N-8,7/09/2017 11:56,RESI,2587,,
10079,543,7/09/2017 0:00,1,B2C,ELE,NUOS,15/08/2017 0:00,PAID,6,1.23,v1_0,307509,EN121720138-N-8,7/09/2017 12:02,RESI,2587,,
10088,543,7/09/2017 0:00,1,B2C,ELE,NUOS,15/08/2017 0:00,PAID,8,2.77,v1_0,307509,EN121708302-N-12,7/09/2017 12:01,RESI,2587,,
10051,543,7/09/2017 0:00,1,B2C,ELE,NUOS,15/08/2017 0:00,PAID,1,6.27,v1_0,307509,EN121708886-N-4,7/09/2017 12:02,RESI,2587,,
10008,543,7/09/2017 0:00,1,B2C,ELE,NUOS,15/08/2017 0:00,PAID,6,1.49,v1_0,307509,EN121697782-N-9,7/09/2017 12:06,RESI,2587,,
10035,543,7/09/2017 0:00,1,B2C,ELE,NUOS,16/08/2017 0:00,PAID,3,4.14,v1_0,307509,EN121762104-N-10,7/09/2017 12:08,RESI,2587,,
10072,543,7/09/2017 0:00,1,B2C,ELE,NUOS,16/08/2017 0:00,PAID,0,1.23,v1_0,307509,EN121755386-N-8,7/09/2017 12:08,RESI,2587,,
10081,543,7/09/2017 0:00,1,B2C,ELE,NUOS,16/08/2017 0:00,PAID,1,4.11,v1_0,307509,EN121766613-N-5,7/09/2017 12:08,RESI,2587,,
10055,543,7/09/2017 0:00,1,B2C,ELE,NUOS,9/08/2017 0:00,PAID,2,4.65,v1_0,307509,EN121523733-N-5,7/09/2017 11:46,RESI,2587,,
10008,543,7/09/2017 0:00,1,B2C,ELE,NUOS,9/08/2017 0:00,PAID,8,1.05,v1_0,307509,EN121496479-N-16,7/09/2017 11:46,RESI,2587,,
10009,543,7/09/2017 0:00,0,B2C,ELE,NUOS,16/08/2017 0:00,REVR,2,4.28,v1_0,307509,EN121738202-N-8,7/09/2017 12:06,RESI,2587,,
10013,543,7/09/2017 0:00,1,B2C,ELE,NUOS,16/08/2017 0:00,PAID,5,2.59,v1_0,307509,EN121764138-N-15,7/09/2017 12:06,RESI,2587,,
10076,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,9,3.76,v1_0,307509,EN121863042-N-7,7/09/2017 12:16,RESI,2587,,
10030,543,7/09/2017 0:00,1,B2C,ELE,NUOS,18/08/2017 0:00,PAID,4,2.99,v1_0,307509,EN121834674-N-8,7/09/2017 12:16,RESI,2587,,
10083,543,7/09/2017 0:00,1,B2C,ELE,NUOS,30/08/2017 0:00,PAID,8,2.68,v1_0,307508,EN122274902-N-10,7/09/2017 11:16,RESI,2587,,
10095,543,7/09/2017 0:00,1,B2C,ELE,NUOS,30/08/2017 0:00,PAID,9,2.98,v1_0,307508,EN122253526-N-8,7/09/2017 11:16,RESI,2587,,
10099,543,7/09/2017 0:00,1,B2C,ELE,NUOS,29/08/2017 0:00,PAID,1,1.6,v1_0,307508,EN122197146-N-16,7/09/2017 11:16,RESI,2587,,
10070,543,7/09/2017 0:00,1,B2C,ELE,NUOS,1/09/2017 0:00,PAID,0,2435.86,v1_0,307511,EN122370524-N-5,7/09/2017 10:59,,2081,,
10066,543,7/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,6,572.43,v1_0,307511,EN122519314-N-5,7/09/2017 10:59,,2081,,
10067,543,7/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,3,15.16,v1_0,307511,EN122531822-N-6,7/09/2017 11:00,BEST,2081,,
10068,105,5/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,8,16.49,v1_0,307312,EA983_82003987733-N-8,11/09/2017 9:44,RESI,2581,,
10090,105,5/09/2017 0:00,1,B2C,ELE,NUOS,4/09/2017 0:00,PAID,3,0.97,v1_0,307312,EA983_158001249784-N-3,11/09/2017 9:44,RESI,2581,,
